"time","num_instructions","location","block","condition","success","participant_id"
9.3000677,3,"7",1,"tactile","success",2441
4.5507606000001,2,"8",1,"tactile","success",2441
8.91242690000013,3,"3",1,"tactile","success",2441
8.92507610000007,3,"1",1,"tactile","success",2441
5.18754830000012,2,"6",1,"tactile","success",2441
6.10945600000014,2,"4",2,"auditory","success",2441
7.73959809999997,3,"7",2,"auditory","success",2441
5.19110709999995,2,"6",2,"auditory","success",2441
6.59818580000001,2,"2",2,"auditory","success",2441
8.74748909999994,3,"1",2,"auditory","success",2441
6.61866759999998,3,"9",2,"auditory","success",2441
4.88703630000009,2,"8",2,"auditory","success",2441
8.0503604999999,3,"3",2,"auditory","success",2441
6.83116199999995,3,"9",2,"tactile","success",2441
7.62265649999995,3,"1",2,"tactile","success",2441
5.23391300000003,2,"6",2,"tactile","success",2441
4.63417950000007,2,"8",2,"tactile","success",2441
5.15238810000005,2,"4",2,"tactile","success",2441
8.0205334000002,3,"3",2,"tactile","success",2441
6.66990399999986,3,"7",2,"tactile","success",2441
6.37438040000006,2,"2",2,"tactile","success",2441
6.13366719999999,2,"6",3,"auditory","success",2441
4.52601860000004,2,"8",3,"auditory","success",2441
8.53529279999998,3,"1",3,"auditory","success",2441
7.58321109999997,3,"3",3,"auditory","success",2441
6.86819760000003,3,"9",3,"auditory","success",2441
6.39232419999985,2,"2",3,"auditory","success",2441
6.8907478000001,3,"7",3,"auditory","success",2441
5.39230240000006,2,"4",3,"auditory","success",2441
6.39440730000001,3,"9",3,"tactile","success",2441
4.95755689999987,2,"6",3,"tactile","success",2441
5.71036159999994,2,"4",3,"tactile","success",2441
13.0427843,4,"2",3,"tactile","success",2441
8.32243489999996,3,"1",3,"tactile","success",2441
4.78914780000014,2,"8",3,"tactile","success",2441
9.39195270000005,3,"3",3,"tactile","success",2441
20,7,"7",3,"tactile","fail",2441
11.3944489,3,"7",1,"tactile","success",3097
5.61097319999999,2,"8",1,"tactile","success",3097
8.52853829999981,2,"2",1,"tactile","success",3097
9.72734760000003,3,"1",1,"tactile","success",3097
5.00253619999989,2,"6",1,"tactile","success",3097
9.30137070000001,3,"9",1,"tactile","fail",3097
4.5121481000001,2,"4",1,"tactile","success",3097
8.68831389999991,4,"3",1,"tactile","success",3097
6.95428270000002,3,"3",1,"auditory","success",3097
4.7943166,2,"4",1,"auditory","success",3097
3.61027790000003,2,"6",1,"auditory","success",3097
4.7949328000002,3,"9",1,"auditory","success",3097
4.85843769999997,3,"1",1,"auditory","success",3097
4.2361284000001,2,"2",1,"auditory","success",3097
4.97944869999992,3,"7",1,"auditory","success",3097
3.32972560000007,2,"8",1,"auditory","success",3097
3.77271029999997,2,"6",2,"tactile","success",3097
3.70373960000006,2,"8",2,"tactile","success",3097
3.33294449999994,2,"4",2,"tactile","success",3097
5.15872039999999,3,"3",2,"tactile","success",3097
4.21880349999992,3,"9",2,"tactile","success",3097
5.0890002000001,3,"1",2,"tactile","success",3097
5.62664580000001,2,"2",2,"tactile","success",3097
4.6537080999999,3,"7",2,"tactile","success",3097
5.73712180000007,3,"9",2,"auditory","success",3097
4.49475789999997,2,"2",2,"auditory","success",3097
3.88118699999995,2,"6",2,"auditory","success",3097
4.59666149999998,3,"7",2,"auditory","success",3097
5.01022330000001,3,"3",2,"auditory","success",3097
4.22247709999988,2,"4",2,"auditory","success",3097
3.10177920000001,2,"8",2,"auditory","success",3097
4.69075350000003,3,"1",2,"auditory","success",3097
3.01686109999991,2,"8",3,"tactile","success",3097
6.71203059999993,3,"1",3,"tactile","success",3097
4.36515230000009,2,"2",3,"tactile","success",3097
4.54216219999989,3,"7",3,"tactile","success",3097
4.75421970000002,3,"3",3,"tactile","success",3097
3.48902359999965,2,"4",3,"tactile","success",3097
3.55477379999957,2,"6",3,"tactile","success",3097
4.70992149999984,3,"9",3,"tactile","success",3097
4.50013910000007,3,"3",3,"auditory","success",3097
3.48600940000006,2,"6",3,"auditory","success",3097
2.8593237,2,"8",3,"auditory","success",3097
4.43373470000006,3,"1",3,"auditory","success",3097
4.10696680000001,2,"2",3,"auditory","success",3097
4.07181780000019,3,"7",3,"auditory","success",3097
4.14122369999995,3,"9",3,"auditory","success",3097
3.22863199999983,2,"4",3,"auditory","success",3097
10.5318182999999,3,"7",1,"tactile","success",3415
5.88076649999994,2,"8",1,"tactile","success",3415
